-33,-62,959,16365.00,-488.00,263.00,59.00,
-26,-62,944,16365.00,-491.00,262.00,59.00,
-27,-66,947,16367.00,-500.00,259.00,247.00,
256,-251,740,16196.00,-793.00,-2308.00,173.00,
916,-200,-152,10542.00,-1044.00,-12428.00,50.00,
830,-140,-492,8307.00,378.00,-14003.00,255.00,
432,-130,-868,3826.00,1095.00,-15835.00,83.00,
26,-105,-961,401.00,1083.00,-16312.00,235.00,
-389,-148,-911,-3231.00,1406.00,-15976.00,111.00,
-910,-267,-601,-8403.00,1945.00,-13899.00,158.00,
-882,-319,347,-13496.00,2585.00,-8900.00,135.00,
-419,-171,911,-15921.00,1366.00,-3618.00,78.00,
-2,-55,938,-16382.00,182.00,-3.00,82.00,
36,-525,770,-15651.00,4839.00,160.00,23.00,
-65,-909,360,-13367.00,9463.00,-442.00,12.00,
135,-941,-320,-9284.00,13440.00,252.00,216.00,
0,91,-903,2654.00,16166.00,202.00,194.00,
-45,863,-324,10060.00,12896.00,938.00,207.00,
22,520,733,15497.00,5045.00,532.00,56.00,
-147,76,743,16239.00,-1281.00,365.00,188.00,
-11,-159,875,16261.00,-1164.00,101.00,94.00,
-1,-55,950,16315.00,-196.00,-75.00,203.00,
1,-22,944,16334.00,-106.00,-55.00,251.00,
